Variable,Role,Mean,Standard Deviation,Minimum,Median,Maximum,Skewness,Kurtosis,Non Missing,Missing
Soilcolor,Input,,,,,,,,3867,0
Ph,Input,5.857295060770624,0.6766896819009598,4.3,5.78,8.5,1.057990629206219,1.2037987153712844,3867,0
K,Input,324.28476984742696,202.25013260111055,41.134,282.0,2119.0,2.4179213821155088,11.11336566552728,3867,0
P,Input,11.349587626842514,34.141863583831444,0.0,4.0,782.0,11.15804678030046,181.91439964508308,3867,0
N,Input,0.17915337423868632,0.06647566247278072,0.000261711,0.179883668,0.6956,0.3745514114909203,2.429688497339398,3867,0
Zn,Input,1.7740943413498835,1.4608091981842577,0.1,1.5,45.5,11.47234279091578,260.41021955567913,3867,0
S,Input,11.311624773726402,5.542093739762737,0.05,10.7,118.347,2.6826767496815167,37.32384871111002,3867,0
QV2M-W,Input,8.34687009738221,0.6139482679575263,7.183333333,8.383333333,9.723333333,0.21829701323289932,-0.13810640433565213,3867,0
QV2M-Sp,Input,9.082508404250841,0.7906541196434043,7.65,9.34,10.70333333,-0.11560211910861665,-0.47362066710424156,3867,0
QV2M-Su,Input,12.232019654476337,0.8949699271428035,10.47666667,12.16666667,13.85333333,0.01458880063129939,-0.6211110010151257,3867,0
QV2M-Au,Input,10.99074735102612,0.9938612018457234,9.07,10.92666667,12.8,0.127847156772338,-0.5381417487168845,3867,0
T2M_MAX-W,Input,25.55797258784329,4.2502564771712406,9.03,25.34333333,30.82666667,-2.6620628909126953,8.305703967982993,3867,0
T2M_MAX-Sp,Input,29.803875528277736,2.3175105049154663,25.14666667,29.71333333,33.97333333,-0.039892779665592404,-0.42051884050768473,3867,0
T2M_MAX-Su,Input,24.68604861678821,1.5859569076146616,23.06,23.65,28.24333333,0.9505077461272449,-0.4811655224714255,3867,0
T2M_MAX-Au,Input,23.282298077794156,1.609512336403753,20.61666667,22.8,26.52,0.5001160416039803,-0.7557564148227378,3867,0
T2M_MIN-W,Input,6.658860442825705,1.9333574515239915,2.053333333,6.253333333,11.39,-0.49179425623226647,0.2506017542172585,3867,0
T2M_MIN-Sp,Input,10.346157227123093,2.3048231376618626,4.816666667,9.81,15.65666667,-0.4031300190703763,0.187287591849723,3867,0
T2M_MIN-Su,Input,11.582036894555987,1.459262665085222,8.433333333,11.20666667,14.72666667,0.06264770600663438,-0.2827304147084977,3867,0
T2M_MIN-Au,Input,8.934315145994312,2.0462214938869865,3.98,8.38,13.64333333,-0.5837015787390581,0.3018386892651783,3867,0
PRECTOTCORR-W,Input,1.5558624255438325,0.6916824386283973,0.0,1.736666667,2.78,-0.2452253949179268,-0.8909826967092926,3867,0
PRECTOTCORR-Sp,Input,4.023404016828808,1.117530511615711,1.94,4.41,5.66,-0.36679282411131975,-1.2792913689144516,3867,0
PRECTOTCORR-Su,Input,14.517500216377552,4.11119949649061,4.836666667,16.62,19.92,-0.9134155024728501,-0.14393951402917704,3867,0
PRECTOTCORR-Au,Input,4.762686837217999,1.394398439980283,2.156666667,5.43,7.42,-0.15961859738897727,-1.0930652646440748,3867,0
WD10M,Input,71.5794440134471,80.92989810490255,0.06,68.94,354.88,2.526446308765218,6.179997382532527,3867,0
GWETTOP,Input,0.7090276700284459,0.05535509235087703,0.52,0.73,0.8,-0.9339006118818817,0.58879238053632,3867,0
CLOUD_AMT,Input,51.63070855960693,16.328656175043907,0.46,59.11,59.11,-2.5544676015586685,5.032792767111584,3867,0
WS2M_RANGE,Input,8.262412723041118,9.661187682497905,4.86,6.01,46.1,3.6516495138792346,11.387092403469815,3867,0
PS,Input,78.42616757176106,2.3803795666614835,74.17,78.25,83.76,0.49759309330779344,-0.4572654181397815,3867,0
label,Target,,,,,,,,3867,0
